1 1 1
379 424 12 1
616 918 51 1
318 313 50 1
9 66 58 1
269 283 1 1
190 805 68 1
328 962 30 1
443 271 39 1
255 697 8 1
86 299 10 1
896 111 6 1
353 917 15 1
207 39 36 1
198 957 57 1
550 323 21 1
562 618 23 1
950 1 33 1
672 579 55 1
665 311 1 1
446 385 3 1
463 550 30 1
985 546 23 1
951 322 37 1
822 109 48 1
407 75 21 1
425 817 46 1
194 285 30 1
242 189 66 1
658 544 19 1
262 477 8 1
905 859 1 1
503 704 22 1
383 167 13 1
872 726 43 1
605 916 49 1
550 140 24 1
879 74 48 1
608 949 1 1
795 292 37 1
957 722 61 1
139 683 71 1
562 62 41 1
294 658 16 1
124 705 49 1
713 174 56 1
507 434 31 1
944 992 62 1
276 696 57 1
29 294 7 1
746 578 54 1
71 249 52 1
466 440 57 1
53 123 8 1
32 741 60 1
905 547 71 1
992 661 54 1
335 493 48 1
734 134 69 1
431 490 28 1
442 107 68 1
880 90 36 1
478 871 22 1
510 569 22 1
597 772 0 1
305 459 47 1
701 556 2 1
405 577 10 1
27 29 22 1
121 5 23 1
620 438 23 1
556 398 28 1
171 534 3 1
38 453 64 1
847 883 9 1
868 704 26 1
623 299 60 1
973 959 30 1
456 660 53 1
489 781 71 1
754 198 20 1
211 827 5 1
327 89 71 1
2 2 2
0 0 32 272
1000 1000 24 243
86 57 58
570 540 50 833
720 239 43 282
209 937 53 494
395 65 0 893
652 975 9 504
943 853 22 410
32 60 53 363
377 943 33 773
509 940 43 719
340 57 65 711
770 431 29 308
950 818 13 426
514 403 10 935
6 679 23 874
18 122 16 243
6 361 36 877
293 167 33 576
492 157 59 900
282 833 32 504
416 344 11 887
186 259 43 524
534 447 15 132
244 74 32 434
106 141 43 825
508 783 57 674
652 872 61 541
656 996 26 148
969 930 15 698
197 539 7 795
106 501 25 269
236 670 33 100
215 911 33 364
789 471 47 199
161 933 20 470
196 831 71 724
762 89 52 838
992 482 68 407
504 789 25 320
323 204 70 837
629 779 58 722
717 192 47 780
251 402 67 92
114 154 10 998
292 706 6 712
473 822 28 766
743 31 44 618
393 526 5 56
930 759 18 232
402 709 13 749
281 94 47 842
687 523 25 724
590 467 50 971
829 885 29 674
173 456 69 13
38 219 17 874
10 907 70 233
811 281 29 125
633 647 59 644
357 450 70 59
641 418 27 83
179 477 25 640
990 655 49 839
228 595 53 455
343 788 2 521
118 53 35 570
554 399 59 943
657 52 47 167
443 353 6 932
262 825 21 987
188 304 67 172
63 72 70 267
369 881 49 260
89 677 3 590
988 539 52 6
766 561 38 596
571 170 22 34
593 879 53 561
762 184 40 758
200 836 40 34
29 989 39 367
684 340 16 366
667 437 25 285
334 472 48 245
891 221 31 194
387 719 29 828
372 651 35 491
36 22 30
739 33 46 99
417 296 33 11
182 604 26 44
841 129 59 56
510 490 62 20
417 553 65 32
152 94 60 16
270 883 47 65
298 356 60 65
709 522 46 73
81 998 69 26
290 594 71 52
90 994 69 3
550 7 39 12
793 301 29 39
449 882 35 39
670 554 15 39
543 949 43 40
476 269 9 64
405 141 56 65
822 619 18 72
82 263 23 70
56 338 58 20
261 69 69 16
609 748 11 56
615 188 58 70
448 330 36 66
421 856 0 27
206 442 18 86
441 350 67 30
138 980 30 85
578 289 41 16
533 147 20 92
302 842 17 77
799 473 16 45
5 897 61 54
26 12 6
6 437 2 10
118 444 15 4
22 9 8 2
73 449 27 9
656 798 46 2
194 402 4 3
228 580 29 1
930 523 57 10
245 320 9 5
492 861 43 9
395 880 64 7
708 526 35 4
992 39 48 8
589 693 6 2
145 488 58 10
542 46 66 3
940 261 27 10
378 591 40 2
625 606 23 9
155 351 9 8
762 645 70 4
542 392 19 5
62 445 26 6
11 500 27 8
171 816 12 7
601 487 50 4
6 2 4
328 701 60 1
209 268 28 1
224 294 34 1
534 273 60 1
992 965 54 1
297 171 54 1
2 2 1
0 1000 66 96
1000 1000 57 992
45 15 30
734 754 66 298
63 211 60 129
785 98 64 480
519 499 32 250
981 18 41 199
908 140 26 690
558 396 60 433
676 466 13 193
136 881 15 907
141 232 37 174
3 664 14 482
845 155 42 598
68 386 65 183
380 436 11 270
307 217 18 629
931 158 59 317
191 142 4 503
334 478 31 933
917 995 45 900
191 813 62 945
82 597 60 781
17 456 15 6
173 441 19 899
847 654 69 755
703 383 5 771
738 873 62 875
144 13 40 923
101 388 7 431
469 384 4 564
796 755 57 678
993 654 26 95
96 121 47 382
841 234 62 874
22 716 5 130
147 698 45 90
163 823 58 820
459 774 15 848
560 940 6 233
303 256 5 614
141 162 28 202
141 332 11 377
13 782 41 135
837 512 63 574
206 716 10 691
476 414 7 166
12 9 9
138 836 14 86
623 386 11 99
786 585 67 64
953 305 54 94
253 123 48 64
273 593 47 54
165 850 69 23
447 37 45 86
801 378 19 85
885 998 52 83
430 21 13 45
238 387 7 48
26 25 16
655 907 65 1
198 406 60 9
570 871 34 1
621 50 37 8
717 698 60 8
391 219 17 7
383 245 1 1
201 211 38 6
664 203 66 9
312 83 65 8
722 881 17 9
321 929 70 1
507 449 30 6
155 708 51 5
529 303 31 9
340 949 25 1
920 477 13 5
943 928 66 10
168 368 29 1
447 243 4 8
927 481 68 7
42 550 67 7
248 236 2 2
483 642 18 9
772 469 40 9
137 665 3 4
97 81 38
388 743 68 1
435 47 22 1
347 441 68 1
802 56 5 1
486 2 48 1
866 908 3 1
777 288 21 1
48 733 60 1
58 113 24 1
758 522 33 1
312 783 11 1
718 453 39 1
583 6 30 1
82 351 62 1
332 727 71 1
783 866 23 1
346 0 41 1
762 95 69 1
683 192 33 1
121 537 20 1
263 232 19 1
306 903 53 1
866 145 57 1
243 977 23 1
574 932 12 1
377 622 7 1
236 857 64 1
925 808 33 1
730 724 60 1
540 945 3 1
604 961 39 1
141 887 56 1
687 414 4 1
43 144 67 1
146 379 6 1
664 780 55 1
38 317 4 1
940 921 14 1
386 183 38 1
523 988 46 1
504 76 21 1
454 872 28 1
549 136 6 1
320 133 29 1
733 277 47 1
787 73 48 1
657 596 8 1
232 83 37 1
272 761 59 1
178 292 48 1
845 39 53 1
756 229 62 1
779 498 50 1
460 232 21 1
703 115 43 1
22 462 40 1
265 829 27 1
276 977 17 1
646 74 61 1
128 958 13 1
11 667 8 1
717 74 27 1
563 244 35 1
760 153 4 1
681 241 24 1
317 600 28 1
614 806 60 1
219 819 71 1
563 160 69 1
999 875 4 1
813 991 2 1
898 850 37 1
406 862 22 1
317 247 21 1
159 867 45 1
56 786 56 1
953 284 37 1
570 530 53 1
524 144 46 1
262 647 55 1
816 4 58 1
70 429 7 1
367 581 45 1
841 398 3 1
7 250 13 1
515 284 18 1
53 227 58 1
435 995 45 1
875 731 15 1
418 990 15 1
139 337 63 1
530 190 62 1
832 182 32 1
445 964 71 1
387 188 67 1
283 743 13 1
183 323 1 1
3 3 3
0 0 47 341
0 1000 13 135
1000 1000 38 93
2 2 2
1000 0 70 581
1000 1000 49 704
3 2 2
0 0 60 159
1000 0 61 140
1000 1000 7 281
3 2 3
0 1000 52 132
1000 0 23 245
1000 1000 1 239
4 1 2
0 0 66 898
0 1000 38 135
1000 0 11 317
1000 1000 9 892
4 1 4
16 28 36 10
16 7 0 11
24 18 18 8
13 18 54 3
7 5 7
478 501 18 442
478 516 13 85
478 732 22 43
261 566 42 49
337 314 5 53
625 314 35 49
651 563 0 36
4 1 4
454 458 17 522
462 462 57 161
459 459 19 45
459 458 47 6
20 1 20
178 822 16 55
826 831 11 58
213 174 15 63
204 417 56 48
132 299 16 61
822 187 20 55
774 350 21 63
650 174 20 65
486 174 11 76
354 165 41 42
308 506 36 58
418 556 25 87
741 750 32 46
640 692 40 59
541 633 28 30
290 818 18 46
389 829 21 33
490 835 45 53
589 840 9 47
683 842 19 46
0 0 0
